UUID,TCGA_ID
12d9d0ec-4e76-4eba-81b1-6dec7b6f2268,TCGA-BH-A1ES
952883cf-24c2-4ed7-bb96-3f736c15ae3d,TCGA-AC-A2BK
cb024f71-c708-498b-9196-2fe57acf3771,TCGA-E2-A1IF
444d0a78-82fe-4a80-9b41-d7daf98506ca,TCGA-C8-A26X
a6752916-4437-40a7-bc79-d21f52ad1f41,TCGA-E2-A15A
1e473e62-d679-45be-890c-77c52a3e7d47,TCGA-A7-A3RF
6a182962-93fc-482f-aa53-a14d7574763a,TCGA-E2-A1B5
866770c0-c4f1-4ed3-aa96-7ff4f7328323,TCGA-AC-A6IX
674907a1-381a-4952-924a-52e2adf5ad19,TCGA-BH-A0DT
507de54a-b4a5-4778-99fc-2f4f45c6daa0,TCGA-E2-A1B0
2ed88c3e-bf61-4e2f-b06c-0b93c9f9402e,TCGA-AO-A12A
960df455-dab8-4c59-9a99-579cdabe4d19,TCGA-E2-A10C
61348250-68d8-4cef-b6f9-68a68d35508f,TCGA-B6-A0RG
5e4626c1-dcf9-4781-a2e7-f6afca7e2ee7,TCGA-BH-A1EW
d681e327-7e74-4f6a-811f-e006470e568f,TCGA-AN-A04C
82d0130a-9bea-443b-bf46-32fe0a2ce84c,TCGA-A7-A0CG
75d91076-9d8a-415e-9ee6-00b877e55874,TCGA-4H-AAAK
e20191d9-fddf-47a3-9ff9-d4a36af7d762,TCGA-AN-A0FS
9b652843-9c30-4c21-8c39-ef9e21ec4ec6,TCGA-GM-A2DM
752ec80f-0c1d-4c66-9927-a32f2f9dfb2a,TCGA-E2-A153
a615ef14-a590-45b2-91c9-74a3cae19619,TCGA-E2-A1IK
d244c9fe-f289-417a-af42-85591ef4fdc6,TCGA-C8-A26Y
99296d22-e605-49cd-b37f-a1b900be5d53,TCGA-AQ-A04L
9ae5c03c-326d-4492-9cc3-4ba17beb09ad,TCGA-B6-A402
387e08dc-a77e-4dd7-939c-1e6f515e692d,TCGA-BH-A0E9
a2b214c2-a5d4-4ce6-b505-e1438027236d,TCGA-A8-A08C
8832d658-24d2-4d12-a025-959d5eed1271,TCGA-A2-A0YJ
d77c2ca5-196a-4426-84e4-0ffa4a3667ef,TCGA-A1-A0SM
8634f872-177a-481f-ba51-62864c569001,TCGA-A2-A25C
ed178c34-0b29-4f65-bdf5-a39969111ca8,TCGA-AN-A0AS
c93e78f6-1c35-4139-a6b4-c29c229c8b68,TCGA-BH-A0GY
bb7098ae-862b-488c-b67e-01ed682ec783,TCGA-AO-A03V
e7e4c883-af18-41bf-9383-e5b9f354bc8d,TCGA-OL-A5S0
876216c7-72a1-4b1e-bd2b-fcb125ca91ae,TCGA-BH-A0DE
23b39087-8003-4e5b-a1f8-b50b0919bcca,TCGA-AR-A1AN
071e21e7-a494-4d87-ab48-1cb334e0d992,TCGA-GM-A2DN
aae57dd0-eae8-48b0-855f-2cd17c9f524d,TCGA-C8-A12L
18e5bf73-efdd-4c75-957c-68a94f6cb396,TCGA-BH-A42V
d29744c4-3aa3-44b2-83fb-0e74ba697cd9,TCGA-E2-A15M
9bf53a64-2c24-4cf7-8419-f57b1936aa8c,TCGA-BH-A8G0
3c9c665e-9327-45f0-b412-224e8948deb2,TCGA-WT-AB44
c285a0ef-5076-4265-be61-98c064242718,TCGA-E9-A1RC
687d5cbd-0877-4e31-86d7-9fcb32a82f10,TCGA-E2-A9RU
0dacd83e-7fab-4064-a25c-c1de66be5305,TCGA-AR-A251
a7b067c9-a62a-4d3d-8c4e-668830f7441f,TCGA-A8-A082
ef2a6bd9-fe3b-4b67-942c-89f3a34813ad,TCGA-E9-A1R6
b4b81763-61bc-469b-a048-eba733193262,TCGA-B6-A401
381e687e-c27d-4794-981b-7c3c596a0246,TCGA-AR-A24X
baf9135d-d8dd-4e04-9115-4055b81fae05,TCGA-E2-A56Z
