Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	5.616272e-01	8.522594e-01	0	0	1.068676e+00	6.165377e-01	PRKCB;IGF1
KEGG_2021_Human	Neurotrophin signaling pathway	2/119	5.616272e-01	8.522594e-01	0	0	1.068676e+00	6.165377e-01	NGFR;CAMK4
KEGG_2021_Human	Neutrophil extracellular trap formation	3/189	5.743694e-01	8.655427e-01	0	0	1.008013e+00	5.589255e-01	C3;SELP;PRKCB
KEGG_2021_Human	Glutathione metabolism	1/57	5.959321e-01	8.805081e-01	0	0	1.116299e+00	5.778282e-01	GPX3
KEGG_2021_Human	Osteoclast differentiation	2/127	5.970649e-01	8.805081e-01	0	0	9.998722e-01	5.156636e-01	LCK;CAMK4
KEGG_2021_Human	Endometrial cancer	1/58	6.023143e-01	8.805081e-01	0	0	1.096659e+00	5.559795e-01	EGFR
KEGG_2021_Human	Relaxin signaling pathway	2/129	6.055825e-01	8.805081e-01	0	0	9.840256e-01	4.935522e-01	MMP2;EGFR
KEGG_2021_Human	VEGF signaling pathway	1/59	6.085961e-01	8.805081e-01	0	0	1.077696e+00	5.351844e-01	PRKCB
KEGG_2021_Human	Dopaminergic synapse	2/132	6.181026e-01	8.805081e-01	0	0	9.611698e-01	4.624196e-01	PRKCB;PPP2R2B
KEGG_2021_Human	Glycerolipid metabolism	1/61	6.208644e-01	8.805081e-01	0	0	1.041667e+00	4.965027e-01	LIPG
KEGG_2021_Human	Basal cell carcinoma	1/63	6.327493e-01	8.805081e-01	0	0	1.007962e+00	4.613249e-01	GLI1
KEGG_2021_Human	Cytosolic DNA-sensing pathway	1/63	6.327493e-01	8.805081e-01	0	0	1.007962e+00	4.613249e-01	IL33
KEGG_2021_Human	Lysine degradation	1/63	6.327493e-01	8.805081e-01	0	0	1.007962e+00	4.613249e-01	PRDM16
KEGG_2021_Human	Estrogen signaling pathway	2/137	6.382879e-01	8.805081e-01	0	0	9.253343e-01	4.154435e-01	MMP2;EGFR
KEGG_2021_Human	GnRH secretion	1/64	6.385518e-01	8.805081e-01	0	0	9.919118e-01	4.449246e-01	PRKCB
KEGG_2021_Human	Cortisol synthesis and secretion	1/65	6.442628e-01	8.805081e-01	0	0	9.763635e-01	4.292567e-01	CYP11A1
KEGG_2021_Human	Acute myeloid leukemia	1/67	6.554165e-01	8.805081e-01	0	0	9.466802e-01	3.999576e-01	KIT
KEGG_2021_Human	Apoptosis	2/142	6.576280e-01	8.805081e-01	0	0	8.920584e-01	3.738759e-01	NGFR;PRF1
KEGG_2021_Human	Fc epsilon RI signaling pathway	1/68	6.608619e-01	8.805081e-01	0	0	9.325031e-01	3.862524e-01	FCER1A
KEGG_2021_Human	Lipid and atherosclerosis	3/215	6.611800e-01	8.805081e-01	0	0	8.832094e-01	3.654095e-01	SELP;CD40LG;CXCL2
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	2/143	6.613955e-01	8.805081e-01	0	0	8.856864e-01	3.661457e-01	ID4;IGF1
KEGG_2021_Human	Spinocerebellar ataxia	2/143	6.613955e-01	8.805081e-01	0	0	8.856864e-01	3.661457e-01	RELN;PRKCB
KEGG_2021_Human	Renal cell carcinoma	1/69	6.662215e-01	8.815249e-01	0	0	9.187430e-01	3.731318e-01	PAK3
KEGG_2021_Human	Adherens junction	1/71	6.766888e-01	8.885708e-01	0	0	8.924022e-01	3.485221e-01	EGFR
KEGG_2021_Human	Retrograde endocannabinoid signaling	2/148	6.797362e-01	8.885708e-01	0	0	8.551359e-01	3.301257e-01	PRKCB;SLC17A7
KEGG_2021_Human	p53 signaling pathway	1/73	6.868288e-01	8.924367e-01	0	0	8.675248e-01	3.259032e-01	IGF1
KEGG_2021_Human	mTOR signaling pathway	2/154	7.006684e-01	8.924367e-01	0	0	8.211283e-01	2.920922e-01	PRKCB;IGF1
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	1/76	7.014475e-01	8.924367e-01	0	0	8.326964e-01	2.952818e-01	HSD11B1
KEGG_2021_Human	Pancreatic cancer	1/76	7.014475e-01	8.924367e-01	0	0	8.326964e-01	2.952818e-01	EGFR
