Gene,logFC,pvalue
SERPINE2,1.0203211852395289,1.2367950953309674e-75
CD69,1.1107420986209418,1.3122605607179932e-75
ELN,1.0020097233692011,1.581167656491984e-75
TWIST2,1.1909349766097148,1.6153510487945865e-75
SLC22A3,1.1127424468721008,1.695089013776271e-75
SRPX,1.1828506975265642,1.851328721653823e-75
CCN3,1.0968553166452453,1.9152920413967806e-75
HSD11B1,1.1259129534674894,2.1050994281104044e-75
DPP4,1.1442165850650188,2.2743049620838894e-75
THEMIS,1.0989541802420466,3.20113335289341e-75
PHF24,0.85654064700761,3.574105261529145e-75
CAMK4,1.0783754830685046,3.729848550589993e-75
PLAC8,1.0792669834370325,3.9976477159905326e-75
CD200R1,1.1013706823840124,4.599919287887891e-75
BICC1,1.2075644533362762,6.07671383323945e-75
MID1,0.9775711030367986,6.746557705889095e-75
SCN3A,1.119518545847526,9.20728028505769e-75
UBASH3A,1.1057903277988623,9.746749190238019e-75
RIPOR2,1.0710390005753585,1.1856247492775457e-74
SELP,1.0769116983399742,1.438355168125363e-74
CPXM1,1.1618758261310935,1.5759225533511994e-74
CD40LG,1.102032073544082,1.7000446254072372e-74
CD48,1.0526488497806326,2.0380342804564525e-74
LRRC2,1.146463344964469,2.062645444236087e-74
CD5,1.0888038074458959,2.3851601178330594e-74
KCNA1,1.0645087135501963,2.4171453263306498e-74
LEPR,1.1183544034646742,2.992504203494097e-74
GPR174,1.0938114193694917,4.4580262463788095e-74
SLAMF1,1.0855568995748035,5.274331185672929e-74
ALX4,1.0511380769248724,8.108427917345567e-74
ADAMTS1,1.1565731491347948,9.834908780145228e-74
CD6,1.0778318253449493,1.2266994765491792e-73
CD96,1.1102200651650405,1.8433444040108772e-73
PREX2,1.0541343405126498,2.4715231633151384e-73
BMP2,0.9633833478423757,2.6525711526703512e-73
OSR1,0.9936028842602362,5.653686362692803e-73
SCARA5,1.1416952087626435,7.708300114009435e-73
LCK,1.08832577861097,8.420288217654804e-73
ANGPTL1,1.067853021946187,1.1327009581748047e-72
PGM5,1.021873458458544,1.1733459042312006e-72
DBX2,1.1031826718852011,1.3031091147428946e-72
ICAM3,1.0570071738353162,1.3344108705381916e-72
SAMD3,1.090654902650136,1.3820977266049242e-72
GFI1,1.0750330710171805,1.8590611048895682e-72
MAL,1.0327705193048136,2.0033261850219516e-72
KCNS2,1.0725450244724548,2.5169116646603e-72
WDFY4,1.046061755531239,2.7746900972970124e-72
MMP2,1.125818947672721,2.957009436573572e-72
CRYAB,0.8564586344631163,3.1749534932480874e-72
IRF4,1.0510912384142346,3.419715686591084e-72
ADRB2,0.983787690135612,4.3470932007778795e-72
FAT2,1.0681952109147306,4.81446839768459e-72
FCRL6,1.0850358548351562,6.225462932124039e-72
TNFSF14,1.0745927086841465,1.0798229999121166e-71
PTPRC,1.0540634224752579,1.2487627602030837e-71
LRFN5,1.1263849253967804,1.4198227529292506e-71
FCER1A,1.0400995355418936,1.4462157417101704e-71
DNASE1L3,1.0893136088965862,1.5273767840832645e-71
SLAMF6,1.0653814789026397,2.7971063394910585e-71
SLIT3,1.057768234983999,4.39050446056721e-71
WNT10A,0.964474069698668,4.702159837632211e-71
CD244,1.0122948647934407,6.864514559298254e-71
KCNT2,1.035526192745376,6.95436190129745e-71
ARHGAP28,1.1635897445219094,7.0267863089119955e-71
KLK1,1.0503791397825641,9.169855726027415e-71
TMEM255A,1.069275547957362,1.0341288968259588e-70
TNN,1.0288938645291452,1.0601181691710892e-70
CD247,1.0478539215127007,1.1052057632594684e-70
SIT1,1.070267759902968,1.1501155704285454e-70
NUGGC,1.0522785048845653,1.3044412029847199e-70
CCR4,1.066908583343324,1.4074504851803218e-70
CCL23,1.0750848990648671,1.6137374920747412e-70
CCDC8,1.0269274492269305,1.9056712599990702e-70
