,PC1,PC2,Cluster
3628bc49-6968-47a8-96e4-e47421a7152a,40.81889210010225,-32.76454997484523,1
eb805bd1-e1d5-47b1-8bbd-31f91fcee225,41.162558176622674,-23.071517890643072,1
0a72c39e-889a-4990-bf96-6c7b9b8c1124,8.33899222151518,-7.567046355434126,0
10ce58cf-c9ee-4be2-899d-4c20c788effc,11.354630423499236,15.790725199069854,0
d0d2b8fc-6915-49fe-ae4a-f80e2d090cf5,-28.84097938337751,-18.329567762101213,2
b58811d7-8ee0-4b65-a892-17319cc9ecaf,-12.832911665114171,4.149254733207517,2
139b1f70-02f6-4f5e-84b3-81d3677b3f8c,-3.3341457677299102,4.579304503138141,0
d77c2ca5-196a-4426-84e4-0ffa4a3667ef,-3.049482007965378,12.71980103533273,0
1516c4ec-98c0-41dc-9ad1-86cc05305fc1,-14.814137605452775,17.035970955535596,0
62aa3903-4f3b-4693-b5e5-fc5abce184de,1.7978688076710552,17.27841052749944,0
c568f4a0-601e-4b45-b69e-cde40d94bb3d,-13.704243027976306,5.523645832445114,2
a17d056c-59ee-4c93-9357-19d57f108144,-2.7186460619680273,15.750863258426,0
6365a756-2e65-42cb-be4f-1f726915ca94,-16.101347229915195,17.99042040603964,2
952e9924-3a48-4572-bf4c-95e5049e452d,1.1460450360755945,27.368248517749755,0
9dffcc09-6ccd-4f12-ae6a-1b8b93fcf29c,-8.123283682941123,-1.7856734682395792,2
fa94f266-1ed4-440a-8d10-3c72ce4100ba,8.169288435326747,10.462393957341522,0
